




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.8436609 Released 2023-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20592)	upload_1 (576)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of phosphorylation (GO:0042325)	1003	9	28.06	-	.32	4.22E-05	2.58E-03
positive regulation of response to stimulus (GO:0048584)	2229	20	62.35	-	.32	2.55E-10	4.90E-08
organic substance transport (GO:0071702)	2235	20	62.52	-	.32	1.78E-10	3.54E-08
monoatomic cation transport (GO:0006812)	787	7	22.01	-	.32	3.32E-04	1.52E-02
cellular response to chemical stimulus (GO:0070887)	2391	21	66.88	-	.31	2.48E-11	5.68E-09
regulation of catabolic process (GO:0009894)	1026	9	28.70	-	.31	3.14E-05	2.00E-03
circulatory system development (GO:0072359)	926	8	25.90	-	.31	7.60E-05	4.29E-03
negative regulation of cell communication (GO:0010648)	1396	12	39.05	-	.31	6.29E-07	6.66E-05
negative regulation of signaling (GO:0023057)	1397	12	39.08	-	.31	6.33E-07	6.65E-05
vesicle-mediated transport (GO:0016192)	1287	11	36.00	-	.31	1.50E-06	1.41E-04
establishment of protein localization (GO:0045184)	1290	11	36.08	-	.30	1.51E-06	1.41E-04
cell differentiation (GO:0030154)	3648	31	102.04	-	.30	4.16E-18	2.36E-15
cell development (GO:0048468)	2237	19	62.57	-	.30	4.53E-11	9.94E-09
cellular developmental process (GO:0048869)	3651	31	102.13	-	.30	4.19E-18	2.30E-15
organonitrogen compound catabolic process (GO:1901565)	1060	9	29.65	-	.30	1.71E-05	1.17E-03
organic substance catabolic process (GO:1901575)	1654	14	46.27	-	.30	2.72E-08	3.80E-06
response to chemical (GO:0042221)	3782	32	105.79	-	.30	6.17E-19	3.95E-16
regulation of signaling (GO:0023051)	3428	29	95.89	-	.30	5.84E-17	2.64E-14
regulation of cell communication (GO:0010646)	3433	29	96.03	-	.30	3.96E-17	2.03E-14
positive regulation of cellular process (GO:0048522)	5698	48	159.38	-	.30	3.38E-30	5.19E-27
negative regulation of response to stimulus (GO:0048585)	1662	14	46.49	-	.30	2.81E-08	3.89E-06
positive regulation of biological process (GO:0048518)	6211	51	173.73	-	.29	1.90E-34	5.84E-31
nervous system development (GO:0007399)	2200	18	61.54	-	.29	3.07E-11	6.92E-09
positive regulation of DNA-templated transcription (GO:0045893)	1715	14	47.97	-	.29	7.31E-09	1.15E-06
positive regulation of RNA biosynthetic process (GO:1902680)	1718	14	48.06	-	.29	7.37E-09	1.14E-06
system process (GO:0003008)	2099	17	58.71	-	.29	8.06E-11	1.72E-08
regulation of biological quality (GO:0065008)	2846	23	79.61	-	.29	1.22E-14	4.08E-12
positive regulation of immune system process (GO:0002684)	995	8	27.83	-	.29	1.54E-05	1.06E-03
cellular response to nitrogen compound (GO:1901699)	625	5	17.48	-	.29	1.05E-03	4.14E-02
system development (GO:0048731)	3538	28	98.97	-	.28	9.07E-19	5.57E-16
membrane organization (GO:0061024)	761	6	21.29	-	.28	1.66E-04	8.43E-03
positive regulation of transcription by RNA polymerase II (GO:0045944)	1271	10	35.55	-	.28	5.29E-07	5.64E-05
cellular component morphogenesis (GO:0032989)	637	5	17.82	-	.28	7.54E-04	3.07E-02
multicellular organism development (GO:0007275)	3953	31	110.57	-	.28	2.68E-21	2.17E-18
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	2052	16	57.40	-	.28	7.82E-11	1.69E-08
metal ion transport (GO:0030001)	643	5	17.99	-	.28	7.80E-04	3.16E-02
regulation of MAPK cascade (GO:0043408)	649	5	18.15	-	.28	5.43E-04	2.36E-02
animal organ development (GO:0048513)	2859	22	79.97	-	.28	2.83E-15	1.11E-12
positive regulation of signal transduction (GO:0009967)	1563	12	43.72	-	.27	1.73E-08	2.48E-06
regulation of cellular response to stress (GO:0080135)	657	5	18.38	-	.27	5.64E-04	2.43E-02
negative regulation of programmed cell death (GO:0043069)	923	7	25.82	-	.27	1.93E-05	1.29E-03
positive regulation of RNA metabolic process (GO:0051254)	1855	14	51.89	-	.27	3.54E-10	6.33E-08
anatomical structure morphogenesis (GO:0009653)	2261	17	63.24	-	.27	2.58E-12	6.72E-10
positive regulation of cellular biosynthetic process (GO:0031328)	2690	20	75.24	-	.27	7.21E-15	2.51E-12
adaptive immune response (GO:0002250)	673	5	18.83	-	.27	4.12E-04	1.87E-02
regulation of multicellular organismal process (GO:0051239)	2965	22	82.94	-	.27	2.09E-16	9.15E-14
positive regulation of biosynthetic process (GO:0009891)	2710	20	75.80	-	.26	5.06E-15	1.90E-12
cellular homeostasis (GO:0019725)	680	5	19.02	-	.26	2.87E-04	1.36E-02
nitrogen compound transport (GO:0071705)	1642	12	45.93	-	.26	3.26E-09	5.27E-07
modification-dependent macromolecule catabolic process (GO:0043632)	549	4	15.36	-	.26	1.29E-03	4.96E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	2608	19	72.95	-	.26	1.41E-14	4.61E-12
intracellular signal transduction (GO:0035556)	1525	11	42.66	-	.26	1.14E-08	1.69E-06
positive regulation of cellular component organization (GO:0051130)	1118	8	31.27	-	.26	1.14E-06	1.12E-04
response to organonitrogen compound (GO:0010243)	988	7	27.64	-	.25	5.26E-06	4.41E-04
cellular response to oxygen-containing compound (GO:1901701)	1138	8	31.83	-	.25	8.31E-07	8.39E-05
import into cell (GO:0098657)	713	5	19.94	-	.25	1.51E-04	7.79E-03
homeostatic process (GO:0042592)	1426	10	39.89	-	.25	1.88E-08	2.65E-06
positive regulation of macromolecule metabolic process (GO:0010604)	3431	24	95.97	-	.25	5.24E-20	3.83E-17
positive regulation of metabolic process (GO:0009893)	3736	26	104.50	-	.25	4.82E-22	4.35E-19
cellular response to cytokine stimulus (GO:0071345)	728	5	20.36	-	.25	1.09E-04	5.93E-03
positive regulation of cellular metabolic process (GO:0031325)	3349	23	93.68	-	.25	7.02E-20	4.90E-17
positive regulation of cell communication (GO:0010647)	1748	12	48.90	-	.25	2.91E-10	5.52E-08
positive regulation of signaling (GO:0023056)	1750	12	48.95	-	.25	1.99E-10	3.91E-08
regulation of cell population proliferation (GO:0042127)	2198	15	61.48	-	.24	4.93E-13	1.43E-10
negative regulation of cell population proliferation (GO:0008285)	880	6	24.62	-	.24	1.23E-05	8.79E-04
cellular response to organonitrogen compound (GO:0071417)	587	4	16.42	-	.24	7.02E-04	2.89E-02
cell communication (GO:0007154)	5285	36	147.83	-	.24	3.58E-33	7.86E-30
neuron development (GO:0048666)	881	6	24.64	-	.24	1.22E-05	8.83E-04
regulation of intracellular signal transduction (GO:1902531)	1773	12	49.59	-	.24	1.41E-10	2.88E-08
protein transport (GO:0015031)	1193	8	33.37	-	.24	2.13E-07	2.50E-05
negative regulation of apoptotic process (GO:0043066)	896	6	25.06	-	.24	8.77E-06	6.67E-04
cell migration (GO:0016477)	899	6	25.15	-	.24	8.79E-06	6.64E-04
proteolysis involved in protein catabolic process (GO:0051603)	601	4	16.81	-	.24	5.02E-04	2.20E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	3015	20	84.34	-	.24	2.66E-18	1.57E-15
signal transduction (GO:0007165)	4829	32	135.08	-	.24	1.55E-30	2.64E-27
regulation of programmed cell death (GO:0043067)	1522	10	42.57	-	.23	2.41E-09	3.94E-07
signaling (GO:0023052)	5133	33	143.58	-	.23	1.51E-33	3.86E-30
positive regulation of molecular function (GO:0044093)	1248	8	34.91	-	.23	8.01E-08	1.02E-05
mRNA metabolic process (GO:0016071)	624	4	17.45	-	.23	2.50E-04	1.20E-02
cellular response to organic substance (GO:0071310)	1764	11	49.34	-	.22	4.20E-11	9.35E-09
epithelial cell differentiation (GO:0030855)	642	4	17.96	-	.22	1.81E-04	9.18E-03
cellular response to organic cyclic compound (GO:0071407)	490	3	13.71	-	.22	1.11E-03	4.31E-02
regulation of apoptotic process (GO:0042981)	1477	9	41.31	-	.22	1.42E-09	2.42E-07
response to cytokine (GO:0034097)	825	5	23.08	-	.22	1.03E-05	7.47E-04
regulation of cell motility (GO:2000145)	996	6	27.86	-	.22	1.19E-06	1.15E-04
regulation of cellular localization (GO:0060341)	999	6	27.94	-	.21	1.21E-06	1.17E-04
cellular response to hormone stimulus (GO:0032870)	503	3	14.07	-	.21	7.91E-04	3.19E-02
positive regulation of gene expression (GO:0010628)	1183	7	33.09	-	.21	6.35E-08	8.41E-06
positive regulation of cellular component biogenesis (GO:0044089)	509	3	14.24	-	.21	8.03E-04	3.23E-02
response to organic substance (GO:0010033)	2585	15	72.31	-	.21	4.25E-17	2.11E-14
regulation of protein transport (GO:0051223)	517	3	14.46	-	.21	5.64E-04	2.44E-02
regulation of locomotion (GO:0040012)	1038	6	29.03	-	.21	4.15E-07	4.69E-05
apoptotic process (GO:0006915)	1039	6	29.06	-	.21	4.17E-07	4.68E-05
endocytosis (GO:0006897)	520	3	14.55	-	.21	5.65E-04	2.43E-02
response to organic cyclic compound (GO:0014070)	869	5	24.31	-	.21	3.68E-06	3.26E-04
regulation of anatomical structure morphogenesis (GO:0022603)	874	5	24.45	-	.20	3.70E-06	3.27E-04
regulation of multicellular organismal development (GO:2000026)	1401	8	39.19	-	.20	1.63E-09	2.76E-07
ubiquitin-dependent protein catabolic process (GO:0006511)	527	3	14.74	-	.20	5.82E-04	2.50E-02
cellular response to lipid (GO:0071396)	527	3	14.74	-	.20	5.82E-04	2.49E-02
embryo development (GO:0009790)	1055	6	29.51	-	.20	2.97E-07	3.40E-05
blood vessel development (GO:0001568)	529	3	14.80	-	.20	5.91E-04	2.52E-02
regulation of vesicle-mediated transport (GO:0060627)	529	3	14.80	-	.20	5.91E-04	2.51E-02
protein catabolic process (GO:0030163)	715	4	20.00	-	.20	3.30E-05	2.08E-03
regulation of establishment of protein localization (GO:0070201)	542	3	15.16	-	.20	4.15E-04	1.88E-02
positive regulation of catalytic activity (GO:0043085)	905	5	25.31	-	.20	1.86E-06	1.71E-04
programmed cell death (GO:0012501)	1088	6	30.43	-	.20	1.51E-07	1.81E-05
cell death (GO:0008219)	1092	6	30.55	-	.20	1.01E-07	1.27E-05
neuron differentiation (GO:0030182)	1099	6	30.74	-	.20	1.03E-07	1.28E-05
vasculature development (GO:0001944)	550	3	15.38	-	.20	2.86E-04	1.36E-02
organelle localization (GO:0051640)	550	3	15.38	-	.20	2.86E-04	1.36E-02
negative regulation of developmental process (GO:0051093)	919	5	25.71	-	.19	1.31E-06	1.25E-04
regulation of transport (GO:0051049)	1668	9	46.66	-	.19	1.32E-11	3.07E-09
negative regulation of multicellular organismal process (GO:0051241)	1117	6	31.24	-	.19	7.44E-08	9.67E-06
regulation of cell migration (GO:0030334)	936	5	26.18	-	.19	9.33E-07	9.30E-05
regulation of leukocyte activation (GO:0002694)	566	3	15.83	-	.19	2.03E-04	1.02E-02
macromolecule catabolic process (GO:0009057)	947	5	26.49	-	.19	6.48E-07	6.77E-05
regulation of developmental process (GO:0050793)	2466	13	68.98	-	.19	2.83E-17	1.50E-14
cell adhesion (GO:0007155)	963	5	26.94	-	.19	4.57E-07	5.02E-05
anatomical structure formation involved in morphogenesis (GO:0048646)	964	5	26.97	-	.19	4.59E-07	5.00E-05
response to hormone (GO:0009725)	780	4	21.82	-	.18	8.64E-06	6.67E-04
generation of neurons (GO:0048699)	1172	6	32.78	-	.18	1.74E-08	2.48E-06
tissue development (GO:0009888)	1768	9	49.45	-	.18	1.45E-12	3.98E-10
cellular response to endogenous stimulus (GO:0071495)	1187	6	33.20	-	.18	1.22E-08	1.80E-06
embryonic morphogenesis (GO:0048598)	594	3	16.62	-	.18	1.01E-04	5.61E-03
mitotic cell cycle (GO:0000278)	594	3	16.62	-	.18	1.01E-04	5.59E-03
positive regulation of protein modification process (GO:0031401)	793	4	22.18	-	.18	6.00E-06	4.93E-04
sensory organ development (GO:0007423)	596	3	16.67	-	.18	1.02E-04	5.60E-03
animal organ morphogenesis (GO:0009887)	994	5	27.80	-	.18	2.27E-07	2.62E-05
leukocyte activation (GO:0045321)	607	3	16.98	-	.18	7.13E-05	4.08E-03
multicellular organismal-level homeostasis (GO:0048871)	609	3	17.03	-	.18	7.15E-05	4.08E-03
regulation of localization (GO:0032879)	2039	10	57.03	-	.18	9.65E-15	3.29E-12
positive regulation of multicellular organismal process (GO:0051240)	1647	8	46.07	-	.17	4.83E-12	1.20E-09
response to endogenous stimulus (GO:0009719)	1447	7	40.48	-	.17	9.96E-11	2.07E-08
positive regulation of intracellular signal transduction (GO:1902533)	1037	5	29.01	-	.17	7.74E-08	9.99E-06
regulation of cell activation (GO:0050865)	623	3	17.43	-	.17	5.03E-05	2.98E-03
response to oxygen-containing compound (GO:1901700)	1670	8	46.71	-	.17	2.27E-12	6.02E-10
positive regulation of cell population proliferation (GO:0008284)	1255	6	35.10	-	.17	1.97E-09	3.29E-07
response to lipid (GO:0033993)	850	4	23.78	-	.17	1.44E-06	1.36E-04
positive regulation of protein metabolic process (GO:0051247)	1285	6	35.94	-	.17	9.51E-10	1.66E-07
blood vessel morphogenesis (GO:0048514)	431	2	12.06	-	.17	8.83E-04	3.52E-02
positive regulation of cell differentiation (GO:0045597)	865	4	24.20	-	.17	1.01E-06	9.98E-05
axon development (GO:0061564)	439	2	12.28	-	.16	9.09E-04	3.61E-02
epithelium development (GO:0060429)	1107	5	30.97	-	.16	1.27E-08	1.85E-06
positive regulation of developmental process (GO:0051094)	1332	6	37.26	-	.16	3.17E-10	5.79E-08
regulation of protein localization (GO:0032880)	892	4	24.95	-	.16	4.88E-07	5.28E-05
negative regulation of cell differentiation (GO:0045596)	671	3	18.77	-	.16	1.77E-05	1.20E-03
neurogenesis (GO:0022008)	1348	6	37.71	-	.16	2.20E-10	4.27E-08
tube development (GO:0035295)	904	4	25.29	-	.16	3.37E-07	3.83E-05
tube morphogenesis (GO:0035239)	684	3	19.13	-	.16	1.23E-05	8.79E-04
intracellular protein transport (GO:0006886)	694	3	19.41	-	.15	8.55E-06	6.73E-04
regulation of nervous system development (GO:0051960)	463	2	12.95	-	.15	4.38E-04	1.97E-02
positive regulation of MAPK cascade (GO:0043410)	464	2	12.98	-	.15	4.39E-04	1.97E-02
hemopoiesis (GO:0030097)	696	3	19.47	-	.15	8.56E-06	6.71E-04
positive regulation of phosphorus metabolic process (GO:0010562)	699	3	19.55	-	.15	8.63E-06	6.73E-04
positive regulation of phosphate metabolic process (GO:0045937)	699	3	19.55	-	.15	8.63E-06	6.69E-04
cell morphogenesis (GO:0000902)	710	3	19.86	-	.15	5.98E-06	4.96E-04
lymphocyte activation (GO:0046649)	484	2	13.54	-	.15	3.18E-04	1.49E-02
positive regulation of cell adhesion (GO:0045785)	485	2	13.57	-	.15	3.20E-04	1.49E-02
regulation of cell-cell adhesion (GO:0022407)	486	2	13.59	-	.15	3.23E-04	1.50E-02
